N,P,K,Temperature,Humidity,Rainfall,SoilType,Region,Season,CropType,CropName,Area,FertilizerUsed,IrrigationType,PesticideUsage,SeedQuality,Production,Yield
136.1,51.3,209.6,28.1,65.9,1144.8,Silt,Uttar Pradesh,Rabi,Vegetable,Onion,8.139,164.5,Rainfed,1.707,Medium,170.374,20.933
22.4,20.6,26.0,14.8,45.6,728.5,Clay,Tamil Nadu,Kharif,Cereal,Rice,3.344,370.0,Tube well,5.023,Medium,10.293,3.078
171.1,33.0,1.7,36.2,83.9,832.4,Clay,Gujarat,Rabi,Cereal,Rice,5.019,346.7,Canal,4.827,Medium,20.508,4.086
36.5,99.9,53.9,15.4,64.1,375.2,Silt,Bihar,Summer,Oilseed,Groundnut,0.551,265.8,Drip,1.41,High,1.24,2.251
12.1,27.9,221.3,37.7,90.4,1025.7,Loam,Karnataka,Kharif,Vegetable,Potato,1.92,239.5,Tube well,3.743,High,44.204,23.023
99.8,58.5,107.0,29.4,64.5,226.7,Loam,Rajasthan,Rabi,Vegetable,Potato,2.839,17.0,Canal,0.808,Medium,63.88,22.501
82.7,106.9,228.1,18.9,66.6,840.1,Peaty,Haryana,Kharif,Vegetable,Tomato,1.773,298.8,Rainfed,2.377,Medium,45.027,25.396
199.5,56.5,253.1,9.8,82.1,166.1,Chalky,Tamil Nadu,Rabi,Pulse,Moong,1.115,194.9,Tube well,0.838,Medium,0.59,0.529
67.8,30.1,189.4,19.5,81.0,1140.5,Sandy,Bihar,Rabi,Oilseed,Mustard,7.321,135.3,Rainfed,5.645,Medium,5.586,0.763
89.1,83.7,71.9,35.7,56.4,1059.4,Silt,Tamil Nadu,Rabi,Oilseed,Soybean,6.508,113.5,Drip,3.892,Medium,15.652,2.405
2.8,102.3,236.0,9.5,23.2,1041.7,Loam,Bihar,Summer,Cereal,Barley,5.875,154.2,Canal,1.981,High,9.946,1.693
20.0,104.0,45.7,33.5,78.6,1195.1,Silt,Uttar Pradesh,Rabi,Vegetable,Brinjal,3.8,395.5,Rainfed,1.652,Medium,29.526,7.77
127.7,144.0,296.4,25.5,74.4,279.2,Chalky,Bihar,Kharif,Fiber,Cotton,0.317,44.1,Tube well,4.659,High,0.534,1.684
139.2,1.9,220.9,14.4,89.0,1098.6,Sandy,Odisha,Rabi,Cereal,Barley,2.592,38.2,Tube well,0.319,Medium,3.069,1.184
114.3,133.5,47.9,39.2,52.1,831.9,Clay,Odisha,Summer,Oilseed,Mustard,4.273,83.5,Tube well,0.157,Medium,3.017,0.706
208.8,54.8,98.2,9.5,66.9,975.4,Silt,Odisha,Summer,Pulse,Chana,5.794,264.0,Rainfed,3.624,High,5.672,0.979
51.3,125.5,87.1,10.8,63.9,487.2,Loam,Tamil Nadu,Summer,Oilseed,Groundnut,5.159,94.2,Tube well,3.659,Low,6.996,1.356
34.5,139.9,223.3,17.1,52.7,920.3,Sandy,Odisha,Rabi,Pulse,Urad,3.476,381.5,Rainfed,4.041,Low,1.276,0.367
38.3,76.7,289.1,34.4,62.6,855.7,Chalky,Punjab,Summer,Oilseed,Sesame,1.199,34.9,Drip,0.799,Low,0.524,0.437
8.3,112.8,11.8,33.9,52.7,889.1,Clay,Punjab,Rabi,Oilseed,Sesame,1.455,115.8,Rainfed,4.717,Medium,0.554,0.381
249.1,110.0,99.3,29.4,33.4,406.8,Silt,Bihar,Summer,Vegetable,Potato,7.431,224.4,Canal,4.948,Medium,272.19,36.629
102.5,36.1,140.5,31.7,59.5,313.6,Silt,Haryana,Kharif,Fiber,Cotton,3.029,275.7,Canal,4.094,Low,5.049,1.667
90.6,4.2,148.1,18.6,31.8,1059.3,Sandy,Odisha,Rabi,Vegetable,Potato,8.012,285.1,Tube well,2.423,Medium,150.217,18.749
14.0,140.9,242.5,36.3,68.3,491.1,Sandy,Uttar Pradesh,Kharif,Oilseed,Mustard,7.165,117.3,Rainfed,5.887,Medium,4.987,0.696
199.6,32.0,140.9,18.3,77.1,967.3,Peaty,Gujarat,Summer,Pulse,Chana,2.044,123.1,Tube well,2.232,Medium,2.148,1.051
120.5,33.0,268.8,14.2,31.8,834.0,Clay,Maharashtra,Rabi,Cereal,Wheat,8.781,318.1,Rainfed,4.976,High,26.721,3.043
16.5,126.0,173.6,14.4,39.1,220.0,Silt,Punjab,Kharif,Cereal,Wheat,1.112,319.8,Rainfed,5.038,High,2.875,2.585
247.7,144.1,113.0,10.7,39.5,207.5,Peaty,Uttar Pradesh,Kharif,Oilseed,Sesame,4.881,183.7,Rainfed,1.267,Low,2.416,0.495
212.2,108.2,25.0,39.7,40.3,906.4,Chalky,Maharashtra,Kharif,Cereal,Wheat,6.383,386.2,Tube well,5.503,Medium,18.83,2.95
183.9,30.3,171.0,8.9,80.0,1185.9,Peaty,Haryana,Summer,Cereal,Wheat,7.915,40.2,Drip,4.217,High,19.083,2.411
95.5,58.6,136.6,23.8,47.8,1112.0,Peaty,Haryana,Kharif,Vegetable,Potato,0.85,193.0,Rainfed,4.489,Medium,22.603,26.592
151.9,128.7,195.5,14.0,52.6,239.3,Loam,Haryana,Summer,Cereal,Wheat,6.607,200.2,Canal,5.609,High,29.315,4.437
209.1,59.5,121.3,26.9,93.9,349.6,Peaty,Karnataka,Kharif,Fiber,Cotton,7.541,189.6,Canal,2.44,Medium,14.456,1.917
92.8,122.1,140.0,20.0,71.8,1080.2,Clay,Punjab,Kharif,Vegetable,Potato,8.315,192.5,Drip,1.063,Medium,268.425,32.282
1.1,135.2,205.4,8.1,40.3,1063.0,Clay,Karnataka,Kharif,Pulse,Masoor,1.157,250.6,Tube well,5.132,High,0.566,0.489
33.9,11.4,286.0,22.5,39.4,162.7,Peaty,Haryana,Kharif,Vegetable,Brinjal,6.316,10.8,Tube well,4.619,High,40.492,6.411
72.5,0.7,204.6,34.1,21.2,151.8,Sandy,Uttar Pradesh,Summer,Vegetable,Tomato,2.995,360.4,Drip,3.639,Medium,46.488,15.522
95.8,25.2,146.7,34.2,29.3,321.4,Peaty,Rajasthan,Kharif,Vegetable,Brinjal,7.698,50.9,Rainfed,4.963,High,44.787,5.818
167.6,15.5,246.0,13.0,65.7,932.7,Chalky,Odisha,Summer,Cereal,Maize,0.35,299.3,Rainfed,4.195,Medium,1.65,4.714
70.2,67.5,91.4,9.9,95.0,959.2,Loam,Punjab,Kharif,Vegetable,Brinjal,9.091,339.7,Tube well,0.145,Low,63.901,7.029
115.9,123.1,194.5,23.2,71.2,517.5,Peaty,Uttar Pradesh,Kharif,Vegetable,Potato,2.062,208.6,Tube well,1.426,High,91.382,44.317
203.7,51.1,82.2,28.6,48.4,821.1,Peaty,Odisha,Kharif,Oilseed,Sesame,5.2,38.0,Tube well,3.781,Medium,3.744,0.72
234.3,25.5,150.6,28.4,91.1,211.7,Sandy,Karnataka,Kharif,Cereal,Maize,6.382,8.6,Canal,4.433,Medium,20.161,3.159
204.7,42.9,67.5,16.5,34.7,129.5,Sandy,Punjab,Kharif,Cereal,Maize,7.791,212.4,Canal,1.551,High,37.88,4.862
108.2,52.0,48.6,16.1,60.1,1066.5,Clay,Tamil Nadu,Summer,Cereal,Rice,4.22,9.4,Tube well,0.36,Medium,8.516,2.018
244.4,63.1,169.0,39.6,80.5,842.5,Clay,Maharashtra,Rabi,Cereal,Maize,4.028,321.4,Drip,0.213,Medium,22.114,5.49
24.9,46.0,26.4,13.9,81.6,825.3,Peaty,Odisha,Rabi,Pulse,Moong,8.76,145.4,Drip,1.606,High,4.8,0.548
148.3,55.5,118.7,22.1,89.6,120.2,Clay,Maharashtra,Rabi,Oilseed,Mustard,9.991,6.9,Canal,3.625,Medium,6.744,0.675
117.2,53.2,272.6,27.9,22.6,936.0,Chalky,Punjab,Kharif,Vegetable,Onion,8.9,167.5,Tube well,4.602,High,195.542,21.971
93.2,13.1,216.1,29.5,93.1,413.4,Clay,Punjab,Kharif,Vegetable,Tomato,2.315,252.3,Rainfed,2.147,Low,32.676,14.115
175.4,116.7,41.6,37.7,41.7,1076.5,Peaty,Karnataka,Summer,Cereal,Barley,4.927,374.0,Rainfed,2.129,Medium,10.263,2.083
164.4,15.4,210.5,36.1,22.4,503.0,Silt,Tamil Nadu,Summer,Cereal,Rice,1.485,20.1,Tube well,5.491,Medium,3.589,2.417
2.9,24.1,62.0,13.4,94.8,221.9,Chalky,Bihar,Rabi,Pulse,Moong,7.519,54.1,Drip,0.165,Medium,1.278,0.17
87.6,95.4,234.5,11.2,86.5,383.2,Clay,Odisha,Rabi,Pulse,Urad,6.252,241.5,Drip,0.738,Medium,3.176,0.508
64.9,95.4,189.8,20.9,33.7,47.6,Clay,Maharashtra,Kharif,Pulse,Masoor,3.621,149.4,Drip,3.631,Low,2.354,0.65
43.7,113.9,143.0,32.8,38.3,976.1,Sandy,Haryana,Kharif,Vegetable,Onion,8.518,142.8,Canal,5.795,High,145.326,17.061
98.0,109.8,72.7,34.4,74.4,661.8,Peaty,Haryana,Summer,Vegetable,Onion,1.955,88.6,Tube well,1.039,High,40.637,20.786
1.0,144.6,138.5,19.5,90.9,775.4,Peaty,Rajasthan,Rabi,Vegetable,Tomato,4.117,216.9,Drip,1.381,Low,68.602,16.663
168.0,72.9,145.7,17.3,72.1,109.1,Sandy,Karnataka,Kharif,Vegetable,Tomato,2.21,262.4,Tube well,2.562,High,56.746,25.677
134.9,138.5,226.8,11.1,41.8,580.6,Clay,Uttar Pradesh,Kharif,Cereal,Maize,8.413,109.1,Drip,4.276,High,52.363,6.224
173.7,99.4,135.0,31.1,65.3,790.6,Silt,Punjab,Rabi,Vegetable,Tomato,8.238,343.6,Rainfed,1.687,Medium,221.47,26.884
168.3,85.2,141.6,26.2,24.5,625.2,Clay,Maharashtra,Summer,Oilseed,Sesame,3.964,236.1,Tube well,3.151,Medium,3.825,0.965
243.9,11.5,258.6,32.6,38.0,67.4,Chalky,Maharashtra,Summer,Cash,Sugarcane,0.984,297.2,Rainfed,3.152,Low,41.498,42.173
237.7,29.9,275.6,38.7,90.7,539.9,Chalky,Tamil Nadu,Rabi,Oilseed,Sesame,7.074,35.5,Tube well,3.188,Low,2.66,0.376
157.1,104.5,197.7,23.4,41.5,332.7,Peaty,Punjab,Rabi,Oilseed,Groundnut,7.713,3.6,Rainfed,4.473,Medium,8.963,1.162
99.0,118.5,50.5,20.3,46.6,450.0,Silt,Punjab,Rabi,Pulse,Moong,9.92,175.2,Drip,1.897,Medium,8.551,0.862
49.1,80.6,61.2,31.0,58.9,344.6,Sandy,Odisha,Rabi,Vegetable,Brinjal,1.698,85.3,Canal,2.235,High,17.316,10.198
51.7,55.7,196.5,16.7,43.2,342.1,Silt,Punjab,Summer,Oilseed,Sesame,1.202,256.4,Tube well,4.787,Low,0.822,0.684
181.0,138.4,162.5,27.4,28.8,924.0,Peaty,Maharashtra,Kharif,Oilseed,Groundnut,5.389,301.3,Tube well,1.449,Medium,13.451,2.496
193.4,143.8,255.2,14.6,54.2,302.8,Peaty,Punjab,Kharif,Oilseed,Mustard,2.364,164.1,Rainfed,3.876,Medium,2.619,1.108
201.4,15.6,241.4,25.7,22.0,1199.0,Silt,Tamil Nadu,Summer,Cereal,Wheat,0.934,274.8,Tube well,5.708,High,3.817,4.087
182.3,108.8,277.2,19.6,46.8,1141.9,Silt,Tamil Nadu,Kharif,Oilseed,Mustard,1.957,174.4,Drip,3.473,High,3.037,1.552
215.7,120.2,37.5,25.1,39.7,505.6,Clay,Odisha,Kharif,Fiber,Cotton,3.552,349.5,Rainfed,4.786,Medium,6.624,1.865
114.7,37.6,110.3,37.1,67.1,34.4,Chalky,Haryana,Summer,Oilseed,Groundnut,3.429,172.6,Tube well,5.299,Medium,6.395,1.865
249.4,71.4,48.8,24.7,32.5,514.5,Chalky,Karnataka,Kharif,Pulse,Urad,9.667,93.0,Tube well,4.424,Medium,4.94,0.511
203.7,116.5,163.7,16.5,72.7,424.9,Loam,Karnataka,Summer,Pulse,Masoor,4.453,176.7,Drip,0.553,High,5.232,1.175
165.2,132.8,17.7,31.6,50.9,210.9,Sandy,Punjab,Summer,Pulse,Moong,7.885,143.3,Rainfed,1.453,High,4.431,0.562
155.9,139.7,195.6,37.9,57.4,843.4,Loam,Tamil Nadu,Summer,Cash,Sugarcane,1.085,363.4,Tube well,3.751,Medium,100.321,92.462
80.0,6.6,278.8,17.1,47.5,267.9,Clay,Maharashtra,Summer,Pulse,Masoor,0.058,51.2,Drip,4.883,Medium,0.027,0.467
154.8,8.2,292.0,26.7,30.8,403.4,Silt,Punjab,Rabi,Cereal,Barley,0.837,50.5,Rainfed,0.211,High,1.481,1.77
58.5,24.2,256.4,31.1,29.8,696.7,Peaty,Maharashtra,Summer,Oilseed,Groundnut,8.259,234.8,Canal,5.451,Low,13.545,1.64
24.4,48.4,35.1,29.9,32.7,663.2,Sandy,Gujarat,Rabi,Oilseed,Mustard,0.53,288.9,Canal,3.034,High,0.52,0.982
230.4,72.2,134.5,11.7,67.9,511.8,Chalky,Karnataka,Rabi,Cereal,Maize,9.925,343.7,Tube well,3.12,Medium,61.128,6.159
247.8,34.0,186.9,39.9,41.4,927.0,Peaty,Karnataka,Summer,Cash,Sugarcane,3.648,131.7,Canal,3.123,Medium,196.237,53.793
233.3,110.9,119.6,9.3,66.4,402.8,Peaty,Gujarat,Kharif,Pulse,Moong,4.77,209.5,Canal,4.786,Medium,3.687,0.773
166.6,125.4,5.4,33.9,36.1,1061.4,Chalky,Karnataka,Kharif,Pulse,Moong,8.137,99.5,Drip,1.035,Medium,3.621,0.445
237.2,100.9,128.3,8.5,75.0,552.5,Chalky,Gujarat,Kharif,Pulse,Urad,9.694,136.1,Drip,2.017,Medium,5.225,0.539
101.9,26.1,229.5,17.1,38.5,153.4,Sandy,Karnataka,Summer,Pulse,Urad,3.896,337.1,Drip,3.185,Medium,1.862,0.478
35.5,30.4,13.6,22.6,86.2,308.2,Chalky,Bihar,Summer,Cereal,Barley,5.96,50.7,Drip,1.575,Medium,8.57,1.438
138.3,68.4,23.3,22.2,64.3,269.4,Clay,Punjab,Rabi,Pulse,Urad,6.394,8.8,Tube well,2.279,Medium,2.564,0.401
221.5,78.0,164.6,13.8,44.1,1104.3,Peaty,Haryana,Summer,Fiber,Cotton,2.498,123.4,Tube well,3.948,Medium,4.034,1.615
224.1,45.2,103.6,23.9,90.8,612.0,Sandy,Punjab,Summer,Oilseed,Sesame,6.68,179.0,Tube well,0.215,High,5.591,0.837
98.7,62.9,164.2,34.7,30.0,842.4,Clay,Maharashtra,Rabi,Pulse,Masoor,9.643,201.5,Rainfed,2.384,Medium,4.822,0.5
85.3,85.7,128.5,37.8,92.3,1064.7,Sandy,Tamil Nadu,Kharif,Cereal,Maize,2.586,319.2,Drip,0.155,Medium,10.207,3.947
241.9,55.7,68.8,34.7,24.0,688.8,Loam,Rajasthan,Rabi,Pulse,Chana,4.369,350.5,Tube well,1.696,High,5.225,1.196
13.0,144.8,193.3,32.8,63.7,53.9,Silt,Karnataka,Rabi,Pulse,Chana,8.811,297.7,Tube well,5.836,Low,7.251,0.823
44.4,140.4,284.0,18.3,79.6,75.5,Loam,Maharashtra,Rabi,Oilseed,Sesame,7.191,46.6,Rainfed,0.744,Medium,3.509,0.488
23.0,53.3,177.3,26.1,76.7,195.4,Loam,Maharashtra,Summer,Oilseed,Groundnut,5.791,7.2,Tube well,5.823,High,8.212,1.418
99.2,114.3,202.9,22.6,72.4,421.0,Clay,Uttar Pradesh,Kharif,Cereal,Wheat,1.481,366.6,Drip,3.86,Low,6.236,4.211
106.7,35.0,112.5,9.6,22.1,256.4,Loam,Rajasthan,Kharif,Vegetable,Potato,8.272,333.6,Tube well,0.378,Medium,154.579,18.687
7.3,111.7,236.6,19.8,43.8,90.8,Loam,Maharashtra,Kharif,Cereal,Rice,9.482,3.2,Drip,0.756,Medium,17.911,1.889
184.4,108.2,11.9,16.1,43.2,475.1,Clay,Rajasthan,Rabi,Oilseed,Mustard,3.676,66.6,Rainfed,2.853,Medium,2.812,0.765
176.3,32.6,120.4,14.3,25.2,1067.4,Sandy,Uttar Pradesh,Summer,Oilseed,Soybean,5.973,354.9,Canal,3.082,Medium,11.343,1.899
152.2,112.5,214.3,36.4,77.1,882.9,Peaty,Rajasthan,Summer,Pulse,Chana,1.419,384.7,Rainfed,3.624,High,1.711,1.206
38.5,2.6,22.4,18.3,37.6,673.2,Chalky,Bihar,Rabi,Pulse,Chana,9.029,17.6,Rainfed,1.632,High,2.853,0.316
12.4,105.4,277.6,26.0,92.0,941.3,Loam,Tamil Nadu,Rabi,Vegetable,Onion,1.035,317.6,Tube well,4.551,Low,18.471,17.846
199.4,18.9,260.2,11.2,69.4,392.9,Peaty,Uttar Pradesh,Summer,Pulse,Moong,4.124,11.7,Tube well,0.016,Low,1.101,0.267
45.5,58.3,224.2,33.2,67.4,1109.6,Loam,Bihar,Rabi,Vegetable,Onion,5.397,324.2,Tube well,1.536,High,131.989,24.456
144.5,26.7,68.7,9.3,27.1,615.6,Peaty,Karnataka,Summer,Pulse,Masoor,1.252,5.7,Rainfed,1.432,High,0.423,0.338
179.3,26.0,20.6,18.6,35.4,622.0,Chalky,Maharashtra,Kharif,Pulse,Masoor,8.622,305.5,Tube well,0.671,High,6.639,0.77
115.2,70.4,130.7,18.1,45.1,422.1,Clay,Punjab,Rabi,Vegetable,Brinjal,8.287,36.7,Rainfed,2.05,Medium,58.697,7.083
25.3,140.7,110.8,11.3,40.6,677.4,Sandy,Haryana,Summer,Vegetable,Onion,1.767,315.7,Rainfed,4.616,Low,20.195,11.429
85.1,81.6,20.5,12.7,42.8,1119.1,Peaty,Maharashtra,Summer,Cereal,Maize,0.581,335.1,Rainfed,1.42,High,2.427,4.177
69.1,40.3,171.9,19.3,41.6,131.1,Silt,Punjab,Summer,Pulse,Moong,6.016,298.0,Drip,2.348,Medium,4.524,0.752
26.3,132.6,289.4,39.2,73.0,515.1,Sandy,Gujarat,Kharif,Pulse,Moong,9.471,258.5,Drip,2.032,Medium,5.361,0.566
206.3,55.7,212.0,27.1,69.5,733.1,Silt,Karnataka,Kharif,Pulse,Chana,3.26,324.8,Drip,3.653,Medium,5.506,1.689
97.8,7.3,266.1,24.6,20.6,386.8,Loam,Maharashtra,Summer,Vegetable,Tomato,8.566,122.1,Drip,3.156,Medium,182.31,21.283
116.4,111.1,10.1,16.3,33.7,897.1,Clay,Rajasthan,Summer,Cash,Sugarcane,3.165,97.5,Rainfed,2.131,High,160.75,50.79
63.0,25.6,68.1,29.6,77.0,156.9,Loam,Punjab,Kharif,Vegetable,Potato,7.657,63.3,Tube well,4.322,High,199.327,26.032
241.3,115.9,222.8,39.1,61.4,824.9,Loam,Haryana,Summer,Vegetable,Tomato,5.949,110.1,Drip,1.078,High,165.906,27.888
67.5,115.2,213.4,16.4,44.0,515.6,Sandy,Gujarat,Summer,Vegetable,Onion,2.808,120.4,Rainfed,0.848,High,42.513,15.14
125.5,81.0,31.3,15.1,84.5,12.1,Silt,Karnataka,Rabi,Vegetable,Tomato,9.836,351.3,Tube well,3.171,Medium,227.684,23.148
178.5,85.0,294.0,38.8,57.4,1187.2,Sandy,Odisha,Rabi,Pulse,Masoor,8.645,90.7,Tube well,1.156,Medium,5.369,0.621
249.1,46.1,98.3,35.7,61.5,408.3,Clay,Uttar Pradesh,Rabi,Cereal,Barley,1.752,293.9,Rainfed,1.64,High,5.06,2.888
241.7,9.7,94.3,21.4,76.3,578.2,Clay,Maharashtra,Summer,Vegetable,Brinjal,5.22,169.0,Drip,1.733,Medium,66.764,12.79
94.4,11.9,170.4,25.2,57.3,89.7,Silt,Maharashtra,Kharif,Oilseed,Mustard,9.088,280.9,Canal,2.399,Medium,12.669,1.394
168.8,39.7,259.0,34.8,31.0,726.7,Loam,Tamil Nadu,Kharif,Oilseed,Sesame,9.218,332.3,Tube well,5.345,Low,7.033,0.763
233.0,51.4,147.3,21.7,32.4,33.8,Sandy,Tamil Nadu,Summer,Oilseed,Sesame,4.194,162.7,Tube well,1.939,Medium,2.978,0.71
192.3,143.2,191.6,33.4,81.8,595.5,Silt,Uttar Pradesh,Rabi,Vegetable,Onion,5.864,38.8,Canal,2.877,Medium,110.513,18.846
146.4,148.9,268.8,16.5,79.2,394.5,Peaty,Maharashtra,Kharif,Vegetable,Potato,6.274,371.1,Rainfed,3.766,Medium,199.695,31.829
107.3,11.6,33.2,17.6,21.3,225.8,Loam,Rajasthan,Rabi,Cereal,Barley,5.749,30.4,Tube well,5.827,High,9.779,1.701
203.9,36.3,214.8,24.7,61.9,339.1,Sandy,Gujarat,Rabi,Cereal,Wheat,6.915,289.1,Rainfed,0.512,Low,18.173,2.628
163.7,2.0,298.5,14.9,50.6,973.4,Loam,Uttar Pradesh,Rabi,Fiber,Cotton,0.202,377.0,Tube well,0.158,High,0.344,1.703
110.0,92.2,138.2,34.7,28.2,1198.5,Chalky,Tamil Nadu,Rabi,Oilseed,Soybean,5.332,109.5,Drip,3.204,High,10.877,2.04
13.6,106.9,273.3,10.9,57.1,236.3,Loam,Punjab,Kharif,Vegetable,Onion,5.885,62.2,Rainfed,1.225,Low,52.459,8.914
84.7,35.7,36.0,15.3,90.5,1009.7,Clay,Karnataka,Rabi,Pulse,Chana,7.064,115.7,Rainfed,1.368,Low,3.504,0.496
164.4,21.2,180.4,31.1,55.5,819.2,Chalky,Gujarat,Summer,Cereal,Rice,6.327,11.2,Drip,5.095,High,22.328,3.529
200.0,6.0,224.5,24.6,65.9,436.1,Chalky,Karnataka,Rabi,Cereal,Rice,1.854,365.8,Rainfed,3.12,High,9.589,5.172
144.0,103.0,296.1,8.9,88.7,536.6,Chalky,Tamil Nadu,Kharif,Vegetable,Tomato,3.733,105.9,Tube well,0.772,Medium,64.387,17.248
208.9,68.5,242.3,22.5,36.1,1159.6,Clay,Tamil Nadu,Rabi,Vegetable,Tomato,4.219,209.6,Drip,4.95,High,127.308,30.175
98.5,122.1,45.9,13.1,52.7,472.7,Loam,Gujarat,Summer,Cereal,Rice,6.733,28.5,Canal,1.352,Medium,21.714,3.225
196.7,104.3,210.4,21.8,38.1,889.3,Chalky,Uttar Pradesh,Summer,Cereal,Maize,6.659,308.8,Drip,5.244,Medium,45.767,6.873
56.5,105.4,14.8,28.1,94.4,1018.7,Silt,Maharashtra,Summer,Cereal,Rice,7.212,175.5,Drip,5.301,Low,25.884,3.589
81.8,78.0,164.0,14.6,21.6,716.1,Peaty,Odisha,Rabi,Cereal,Wheat,6.158,151.0,Tube well,2.773,Medium,17.47,2.837
109.7,111.2,264.3,20.9,83.7,721.0,Sandy,Odisha,Rabi,Oilseed,Groundnut,3.983,158.5,Rainfed,2.136,Medium,7.106,1.784
156.0,96.2,80.8,15.4,50.5,607.5,Silt,Haryana,Kharif,Oilseed,Groundnut,2.624,382.5,Rainfed,4.741,Medium,5.933,2.261
190.8,45.6,80.2,20.4,93.5,1132.3,Chalky,Gujarat,Kharif,Oilseed,Mustard,1.803,44.7,Rainfed,5.679,Medium,1.199,0.665
33.0,145.1,263.2,12.4,55.1,1085.0,Silt,Gujarat,Summer,Oilseed,Mustard,3.556,370.7,Canal,0.063,Medium,3.325,0.935
15.9,92.8,25.6,25.2,67.7,1025.9,Chalky,Tamil Nadu,Summer,Vegetable,Tomato,3.625,224.8,Drip,1.973,Medium,76.531,21.112
196.8,138.6,81.4,14.8,62.7,980.8,Sandy,Punjab,Summer,Oilseed,Sesame,6.632,228.1,Drip,5.232,High,6.188,0.933
188.4,144.3,239.0,34.7,28.0,742.0,Sandy,Odisha,Rabi,Vegetable,Brinjal,2.838,118.7,Drip,3.756,Medium,27.424,9.663
151.4,51.1,29.9,30.7,91.2,946.4,Silt,Karnataka,Kharif,Oilseed,Sesame,1.616,142.5,Rainfed,1.853,High,1.17,0.724
228.6,134.1,182.8,8.9,67.0,859.8,Clay,Odisha,Rabi,Pulse,Urad,9.748,267.1,Canal,1.534,High,6.707,0.688
18.0,67.4,7.3,29.7,41.4,1130.8,Peaty,Karnataka,Summer,Cereal,Rice,0.422,138.2,Drip,0.183,Medium,1.168,2.767
95.9,134.2,115.4,8.3,44.9,353.5,Loam,Rajasthan,Rabi,Pulse,Masoor,9.396,244.7,Tube well,5.279,High,8.25,0.878
114.5,95.9,231.4,10.4,22.4,564.1,Chalky,Rajasthan,Summer,Oilseed,Sesame,4.249,264.9,Rainfed,1.778,Medium,2.231,0.525
154.4,41.5,244.9,38.2,36.4,564.0,Chalky,Haryana,Rabi,Vegetable,Brinjal,5.615,12.4,Canal,2.942,Medium,37.053,6.599
131.5,133.8,210.1,31.2,52.0,1155.7,Loam,Gujarat,Rabi,Oilseed,Soybean,7.983,265.2,Tube well,1.489,Medium,26.296,3.294
29.2,118.4,61.8,22.4,39.5,997.4,Silt,Punjab,Kharif,Vegetable,Onion,8.996,25.2,Rainfed,4.374,Medium,86.73,9.641
201.3,43.9,220.0,9.1,35.1,87.5,Clay,Gujarat,Rabi,Vegetable,Onion,9.998,296.8,Drip,2.243,Medium,159.348,15.938
236.6,40.8,210.5,35.7,66.2,410.7,Chalky,Bihar,Rabi,Cereal,Wheat,6.411,306.5,Drip,5.965,High,28.696,4.476
227.7,127.9,257.5,25.1,62.5,272.4,Sandy,Maharashtra,Kharif,Oilseed,Soybean,6.366,58.2,Rainfed,0.144,Low,11.045,1.735
136.9,82.5,275.6,39.9,86.8,1048.0,Peaty,Odisha,Rabi,Oilseed,Soybean,1.793,241.6,Tube well,5.331,Medium,4.231,2.36
182.5,51.9,258.8,27.1,58.9,1121.8,Sandy,Odisha,Summer,Vegetable,Onion,5.046,56.1,Drip,2.185,Medium,87.155,17.272
78.8,50.7,198.1,8.6,61.4,293.9,Loam,Gujarat,Kharif,Oilseed,Sesame,7.361,344.2,Tube well,0.736,Low,5.241,0.712
98.9,108.6,228.7,15.4,39.0,6.2,Loam,Rajasthan,Kharif,Cereal,Maize,9.642,194.7,Drip,4.489,Low,52.028,5.396
115.3,121.5,264.1,20.7,87.5,875.2,Chalky,Gujarat,Summer,Oilseed,Soybean,0.426,120.6,Canal,2.757,Medium,1.093,2.566
101.1,91.5,139.4,24.0,92.9,427.2,Silt,Punjab,Rabi,Cereal,Maize,8.185,309.8,Canal,5.376,High,64.891,7.928
185.9,49.7,114.1,37.2,56.4,831.6,Loam,Odisha,Kharif,Cereal,Maize,8.167,395.7,Tube well,4.322,Low,48.577,5.948
226.7,66.0,62.9,37.8,25.5,738.4,Chalky,Bihar,Kharif,Pulse,Chana,4.337,353.0,Drip,5.432,Medium,4.12,0.95
134.6,54.6,79.7,36.8,40.4,11.4,Sandy,Bihar,Summer,Cereal,Rice,4.029,317.3,Canal,1.099,High,16.475,4.089
66.4,92.1,163.3,18.1,20.8,759.3,Peaty,Odisha,Kharif,Cash,Sugarcane,9.511,142.9,Rainfed,0.401,Medium,458.383,48.195
149.6,141.0,39.7,8.7,34.1,799.9,Loam,Karnataka,Summer,Oilseed,Sesame,3.79,361.1,Canal,5.121,Medium,2.918,0.77
121.8,95.2,239.1,16.2,21.0,1.2,Clay,Punjab,Kharif,Cereal,Wheat,0.588,259.5,Rainfed,0.188,High,1.505,2.56
87.8,138.1,52.2,18.9,68.4,1068.3,Loam,Gujarat,Kharif,Cereal,Barley,8.676,121.1,Drip,5.012,High,32.414,3.736
115.1,146.0,109.3,13.8,82.2,736.3,Chalky,Uttar Pradesh,Summer,Vegetable,Onion,8.936,0.9,Drip,4.861,Low,84.499,9.456
152.1,97.9,45.2,39.1,85.1,1162.6,Silt,Punjab,Summer,Cash,Sugarcane,5.437,13.0,Drip,4.471,Medium,211.809,38.957
186.1,72.2,255.5,36.1,39.5,948.6,Peaty,Uttar Pradesh,Kharif,Fiber,Cotton,9.06,93.3,Tube well,5.025,Low,11.352,1.253
